Ticker,Old Price,Date,Type,Original Currency
0P00018XAP.L,100.49581146240234,2017-03-26,MUTUALFUND,GBP
0P00018XAP.L,100.39762115478516,2017-04-02,MUTUALFUND,GBP
0P00018XAP.L,101.43954467773438,2017-04-09,MUTUALFUND,GBP
0P00018XAP.L,100.36909484863281,2017-04-23,MUTUALFUND,GBP
0P00018XAP.L,100.96851348876953,2017-05-07,MUTUALFUND,GBP
0P00018XAP.L,103.27571868896484,2017-05-14,MUTUALFUND,GBP
0P00018XAP.L,104.12347412109375,2017-05-21,MUTUALFUND,GBP
0P00018XAP.L,104.63742065429688,2017-06-04,MUTUALFUND,GBP
0P00018XAP.L,104.62227630615234,2017-06-11,MUTUALFUND,GBP
0P00018XAP.L,104.84794616699219,2017-06-18,MUTUALFUND,GBP
0P00018XAP.L,103.84642791748047,2017-06-25,MUTUALFUND,GBP
0P00018XAP.L,102.9092025756836,2017-07-02,MUTUALFUND,GBP
0P00018XAP.L,102.84779357910156,2017-07-09,MUTUALFUND,GBP
0P00018XAP.L,103.34539031982422,2017-07-16,MUTUALFUND,GBP
0P00018XAP.L,102.97711944580078,2017-07-23,MUTUALFUND,GBP
0P00018XAP.L,102.95918273925781,2017-07-30,MUTUALFUND,GBP
0P00018XAP.L,105.28933715820312,2017-08-06,MUTUALFUND,GBP
0P00018XAP.L,103.36136627197266,2017-08-13,MUTUALFUND,GBP
0P00018XAP.L,102.99039459228516,2017-08-20,MUTUALFUND,GBP
0P00018XAP.L,104.35796356201172,2017-09-03,MUTUALFUND,GBP
0P00018XAP.L,104.4720458984375,2017-09-10,MUTUALFUND,GBP
0P00018XAP.L,102.21381378173828,2017-09-17,MUTUALFUND,GBP
0P00018XAP.L,102.89693450927734,2017-09-24,MUTUALFUND,GBP
0P00018XAP.L,105.3348617553711,2017-10-01,MUTUALFUND,GBP
0P00018XAP.L,106.36312866210938,2017-10-08,MUTUALFUND,GBP
0P00018XAP.L,106.73113250732422,2017-10-15,MUTUALFUND,GBP
0P00018XAP.L,106.71691131591797,2017-10-22,MUTUALFUND,GBP
0P00018XAP.L,99.21427917480469,2018-03-25,MUTUALFUND,GBP
0P00018XAP.L,103.78780364990234,2018-04-08,MUTUALFUND,GBP
0P00018XAP.L,103.89640808105469,2018-04-15,MUTUALFUND,GBP
0P00018XAP.L,106.93997955322266,2018-04-22,MUTUALFUND,GBP
0P00018XAP.L,108.64765930175781,2018-04-29,MUTUALFUND,GBP
0P00018XAP.L,111.92989349365234,2018-05-13,MUTUALFUND,GBP
0P00018XAP.L,114.1867446899414,2018-05-20,MUTUALFUND,GBP
0P00018XAP.L,112.61200714111328,2018-06-03,MUTUALFUND,GBP
0P00018XAP.L,112.71327209472656,2018-06-10,MUTUALFUND,GBP
0P00018XAP.L,111.2251205444336,2018-06-17,MUTUALFUND,GBP
0P00018XAP.L,109.48353576660156,2018-06-24,MUTUALFUND,GBP
0P00018XAP.L,110.13758087158203,2018-07-01,MUTUALFUND,GBP
0P00018XAP.L,112.19180297851562,2018-07-08,MUTUALFUND,GBP
0P00018XAP.L,110.36872863769531,2018-07-15,MUTUALFUND,GBP
0P00018XAP.L,111.72049713134766,2018-07-22,MUTUALFUND,GBP
0P00018XAP.L,112.42759704589844,2018-07-29,MUTUALFUND,GBP
0P00018XAP.L,111.92432403564453,2018-08-05,MUTUALFUND,GBP
0P00018XAP.L,111.62248229980469,2018-08-12,MUTUALFUND,GBP
0P00018XAP.L,111.67813110351562,2018-08-19,MUTUALFUND,GBP
0P00018XAP.L,110.46590423583984,2018-09-02,MUTUALFUND,GBP
0P00018XAP.L,107.2695083618164,2018-09-09,MUTUALFUND,GBP
0P00018XAP.L,107.61167907714844,2018-09-16,MUTUALFUND,GBP
0P00018XAP.L,109.92547607421875,2018-09-23,MUTUALFUND,GBP
0P00018XAP.L,110.47594451904297,2018-09-30,MUTUALFUND,GBP
0P00018XAP.L,106.71292114257812,2018-10-07,MUTUALFUND,GBP
0P00018XAP.L,103.81753540039062,2018-10-14,MUTUALFUND,GBP
0P00018XAP.L,104.0420913696289,2018-10-21,MUTUALFUND,GBP
0P00018XAP.L,110.00816345214844,2019-03-31,MUTUALFUND,GBP
0P00018XAP.L,112.18714904785156,2019-04-07,MUTUALFUND,GBP
0P00018XAP.L,112.08003997802734,2019-04-14,MUTUALFUND,GBP
0P00018XAP.L,112.307373046875,2019-04-28,MUTUALFUND,GBP
0P00018XAP.L,108.32575225830078,2019-05-12,MUTUALFUND,GBP
0P00018XAP.L,110.8957748413086,2019-05-19,MUTUALFUND,GBP
0P00018XAP.L,108.57342529296875,2019-06-02,MUTUALFUND,GBP
0P00018XAP.L,112.11700439453125,2019-06-09,MUTUALFUND,GBP
0P00018XAP.L,111.9100112915039,2019-06-16,MUTUALFUND,GBP
0P00018XAP.L,112.28423309326172,2019-06-23,MUTUALFUND,GBP
0P00018XAP.L,114.14605712890625,2019-06-30,MUTUALFUND,GBP
0P00018XAP.L,114.40497589111328,2019-07-07,MUTUALFUND,GBP
0P00018XAP.L,114.69409942626953,2019-07-14,MUTUALFUND,GBP
